SuperWEB2(tm)

"Labour Force - Census 1996-2011"
"South Africa by 2011 Electoral Wards by Employment status (official)"
"Counting: Person weighted"

Filters:
"Default Summation","Person weighted"

"Employment status (official)","Employed","Unemployed","Discouraged work-seeker","Not economically active","Unspecified","Not applicable","Total",
"South Africa by 2011 Electoral Wards",
"10204004: Ward 4",8464.169206,1050.477133,59.37554,5497.73812,3.288,6624.855173,21699.903172,
"10204005: Ward 5",7310.254085,1090.023645,116.30062,3622.18996,16.44,5521.163133,17676.371443,
"10204006: Ward 6",7191.040369,669.908441,160.73834,4169.066761,8.768,5248.947194,17448.469105,
"10204007: Ward 7",3450.407518,102.611385,3.68971,3797.285286,0,2032.481311,9386.47521,
"10204008: Ward 8",1373.20092,80.950216,0,9379.015361,0,4807.334354,15640.500851,
"10204009: Ward 9",886.588311,26.487092,0,1941.332704,0,1050.818928,3905.227035,
"10204010: Ward 10",4533.319823,433.210307,52.37943,6953.25452,0,2400.466893,14372.630973,
"10204011: Ward 11",6238.165979,352.205353,34.48427,4648.614449,4.384,3538.464926,14816.318977,
"10204012: Ward 12",3121.958566,1290.782291,234.9887,1872.408017,0,2581.178226,9101.3158,
"10204013: Ward 13",3267.832746,1442.363348,40.51191,2102.914705,3.288,2425.511597,9282.422306,
"10204014: Ward 14",4953.96667,2731.532701,93.82025,3167.124267,12.056,4057.953909,15016.453797,
"10204015: Ward 15",6168.260897,3200.42019,177.55746,4830.059879,38.36,5735.008698,20149.667124,
"10204016: Ward 16",6903.179316,1879.549466,430.86481,6213.210456,6.576,6880.53667,22313.916718,
"10204017: Ward 17",7718.225447,1074.656307,170.33864,4081.52817,5.48,5555.67236,18605.900924,
"10204018: Ward 18",5896.905706,1466.097145,243.67104,3489.887937,0,5538.38416,16634.945988,
"10204019: Ward 19",12225.216412,802.290509,117.62848,5463.077663,0,8978.105142,27586.318206,
"10204020: Ward 20",11939.349183,590.663781,65.70314,4535.927191,18.632,8073.204273,25223.479568,
"10204021: Ward 21",8638.322134,624.799769,55.17892,3981.338472,3.288,5949.885026,19252.812321,
"10204022: Ward 22",5861.367961,197.623025,18.13069,4391.591283,3.288,4138.768334,14610.769293,
