SuperWEB2(tm)

"Labour Force - Census 1996-2011"
"South Africa by 2011 Electoral Wards by Population group"
"Counting: Person weighted"

Filters:
"Default Summation","Person weighted"

"Population group","Black African","Coloured","Indian or Asian","White","Other","Unspecified","Total",
"South Africa by 2011 Electoral Wards",
"10204015: Ward 15",19051.81728,924.20888,11.15334,34.999474,62.88375,64.6044,20149.667124,
"10204016: Ward 16",1422.507374,20151.065789,55.355179,579.357776,63.2825,42.3481,22313.916718,
"10204017: Ward 17",741.496234,14973.956049,77.324014,2664.494877,62.74875,85.881,18605.900924,
"10204018: Ward 18",4320.341094,11614.999591,61.870667,527.790006,93.61853,16.3261,16634.945988,
"10204019: Ward 19",3122.06419,20753.498954,68.379309,3250.057963,88.04606,304.27173,27586.318206,
"10204020: Ward 20",2248.616518,18533.536396,38.79448,4229.861134,66.88264,105.7884,25223.479568,
"10204021: Ward 21",767.032941,10395.35824,47.713868,7834.811162,46.82421,161.0719,19252.812321,
"10204022: Ward 22",725.273614,1461.415435,74.63795,12200.680644,97.49125,51.2704,14610.769293,
"10205001: Ward 1",936.028473,19801.837072,40.195136,2328.775649,62.7708,24.4524,23194.05953,
"10205002: Ward 2",7495.35125,7734.021066,26.000241,356.982659,226.87076,22.8571,15862.083076,
"10205003: Ward 3",10384.569966,15238.783049,36.198758,2129.548771,165.79445,22.2848,27977.179794,
"10205004: Ward 4",4935.711466,18511.842856,60.386314,1502.223375,105.62379,17.6485,25133.436301,
"10205005: Ward 5",4002.54387,20092.516095,21.161681,4792.891144,69.28776,26.1064,29004.50695,
"10205006: Ward 6",855.443851,2285.249964,122.753437,9851.231261,164.0125,6.5055,13285.196513,
"10205007: Ward 7",959.320575,2169.064361,89.847792,13480.748738,72.1475,4.3427,16775.471666,
