OAXXCD,E.01,E.11,E.21
X0000132E,0.3244216628491071,0.6852843125243044,0.8165622233752406
X0000133E,0.1934246331567261,0.5192038943773851,0.6186172894932368
X0000134E,0.21814970829754216,0.5855166489164023,0.7163493457049803
X0000135E,0.3848047034776635,0.7359557263245482,0.8109053901367899
X0000136E,0.14596437780040347,0.6342183081941892,0.8436646336687182
X0000137E,0.21528051776363877,0.5307932273390464,0.7408859089320895
X0000138E,0.30323502725576346,0.7650738010415367,0.8493831959696528
X0000139E,0.3185792759389339,0.6370074326281409,0.7624396283280399
X0000140E,0.05509567911972201,0.4122531420468375,0.6344481667439188
X0000141E,0.3325811485559927,0.7193315244650184,0.8628465649626067
X0000142E,0.18833409650310554,0.5303046764816205,0.721037005790464
X0000143E,0.3335046327787065,0.8024655811182345,0.8347891202773141
X0000144E,0.24830512333282564,0.6736124484691125,0.823878592574343
X0000145E,0.3803866280818282,0.5707241546742666,0.7850497538475325
X0000146E,0.36614262531870506,0.7688939296354307,0.8801448548246245
X0000147E,0.3155518382815487,0.6896074274505695,0.863749996289052
X0000148E,0.1220600877735103,0.3379844689177212,0.6435611876578008
X0000149E,0.23510029034666308,0.6194245438555928,0.8178470859627757
X0000150E,0.23999764263265058,0.5512335899748182,0.6580382766636524
X0000151E,0.19908171763293048,0.5775909933140546,0.8173126394223182
X0000152E,0.23021518201281002,0.39089112245343033,0.6403743331390469
X0000153E,0.33571582425753593,0.6569354771511026,0.8579454987335349
X0000154E,0.4999282657027396,0.6969244024514848,0.7656744503302003
X0000155E,0.17666887463577535,0.6133367447149133,0.7259000398075377
X0000156E,0.3992700690257811,0.6549068705868736,0.7497430234229506
X0000157E,0.25917099217356965,0.7030038891809793,0.8410223629019437
X0000158E,0.3122447726496775,0.6859998406412317,0.7699366156761706
X0000159E,0.2964500068030397,0.571007185048919,0.6865855233792828
X0000160E,0.22975860527824485,0.4906673227884009,0.6520424045005923
X0000161E,0.12580517016941622,0.38887066722808045,0.5708220397503767
X0000162E,0.13506161969411587,0.5002673620212509,0.6530510088913144
X0000163E,0.10577219927870501,0.3552944398927392,0.6331608138953007
X0000164E,0.13366623454708934,0.43662101857643854,0.595668914965155
X0000165E,0.20450338908453655,0.5530427247901212,0.7342532673767288
X0000166E,0.18858584942045017,0.5600297086184295,0.7602431894859859
X0000167E,0.3671843864079978,0.5910633863252687,0.6393688184321915
X0000168E,0.14008278093110083,0.4831421257243799,0.7601022392781916
X0000169E,0.3776502188950604,0.4868759782667658,0.811544139892846
X0000170E,0.21537870672906614,0.6357402678794026,0.7348056153681543
X0000171E,0.3420070400668105,0.6493331170480194,0.7358030171272802
X0000172E,0.37727031798418376,0.6677017851945537,0.7870314012372768
X0000173E,0.20561429268843745,0.37455275883542394,0.6768511497027186
X0000174E,0.11791442079865584,0.43688230785738663,0.6629733639052166
